epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,17502.1,2.11947,4.45827,0.99223,0.36996,0.32995,0.29382,0.13106,1.93868,4.22921,0.97274,0.000308412,0.000308412,0.000308412
65,17784.2,2.11468,4.46566,0.98888,0.35309,0.32967,0.29426,0.13186,1.94255,4.21986,0.97356,0.000294239,0.000294239,0.000294239
66,18061.5,2.1197,4.44921,0.98533,0.34657,0.32696,0.28866,0.12806,1.95336,4.22914,0.97466,0.000280275,0.000280275,0.000280275
67,18337.3,2.10694,4.4225,0.99015,0.32705,0.36079,0.28924,0.12929,1.94719,4.22237,0.97403,0.000266532,0.000266532,0.000266532
68,18617.1,2.09534,4.41851,0.98876,0.32682,0.35797,0.2918,0.13114,1.9455,4.22655,0.9723,0.000253024,0.000253024,0.000253024
69,18899.9,2.10746,4.40059,0.98586,0.33368,0.32362,0.2889,0.12912,1.94216,4.21778,0.97347,0.000239766,0.000239766,0.000239766
70,19173.6,2.09515,4.40736,0.98771,0.33144,0.35738,0.29559,0.13173,1.94309,4.22246,0.97371,0.000226769,0.000226769,0.000226769
71,19441.3,2.09748,4.35389,0.9859,0.35212,0.34774,0.29283,0.12867,1.94356,4.22261,0.97438,0.000214046,0.000214046,0.000214046
72,19705.8,2.09547,4.39212,0.983,0.3207,0.37464,0.29568,0.132,1.94204,4.21018,0.9733,0.000201611,0.000201611,0.000201611
73,19969.9,2.08997,4.40171,0.98925,0.32105,0.35209,0.29121,0.12996,1.9386,4.21458,0.9721,0.000189475,0.000189475,0.000189475
74,20232.2,2.10504,4.39117,0.98388,0.34978,0.33696,0.28978,0.12957,1.93627,4.23172,0.97162,0.000177651,0.000177651,0.000177651
75,20495.9,2.0963,4.38102,0.9852,0.34463,0.34534,0.29334,0.1315,1.93555,4.23158,0.97218,0.000166149,0.000166149,0.000166149
76,20757.8,2.09005,4.35287,0.98481,0.38875,0.32298,0.29327,0.13136,1.93757,4.23374,0.97241,0.000154982,0.000154982,0.000154982
77,21020.9,2.08542,4.34558,0.98444,0.37471,0.33074,0.28797,0.12802,1.94113,4.23868,0.97262,0.000144161,0.000144161,0.000144161
78,21289.1,2.08562,4.35603,0.98303,0.36022,0.33182,0.2894,0.12892,1.93794,4.23264,0.97273,0.000133695,0.000133695,0.000133695
79,21583.7,2.0835,4.30963,0.98269,0.30595,0.36843,0.29088,0.12927,1.93686,4.24169,0.97296,0.000123596,0.000123596,0.000123596
80,21891.1,2.0817,4.31878,0.98611,0.32923,0.36568,0.29,0.12869,1.93246,4.23354,0.97217,0.000113873,0.000113873,0.000113873
81,22154.5,2.08853,4.34589,0.98346,0.32207,0.37658,0.29246,0.13083,1.93249,4.22724,0.97166,0.000104537,0.000104537,0.000104537
82,22417,2.09056,4.33798,0.98167,0.33551,0.36732,0.29344,0.13065,1.9335,4.23044,0.97229,9.55951e-05,9.55951e-05,9.55951e-05
83,22678.9,2.08466,4.31709,0.98253,0.32631,0.36136,0.29129,0.12973,1.93131,4.23551,0.9721,8.70577e-05,8.70577e-05,8.70577e-05
84,22939.7,2.08114,4.3208,0.98002,0.32877,0.36058,0.2908,0.13024,1.93036,4.24012,0.97165,7.89327e-05,7.89327e-05,7.89327e-05
