location,year,total_detections,valid_tiles,skipped_tiles,avg_detections_per_tile
Pacific_Mall_Delhi,2020,0,144,0,0.0
Paris,2020,0,107,37,0.0
Port_of_Antwerp,2020,103,144,0,0.7152777777777778
Port_of_Busan,2020,89,54,90,1.6481481481481481
Port_of_Durban,2020,34,144,0,0.2361111111111111
Port_of_Hamburg,2020,29,96,48,0.3020833333333333
Port_of_Hong_Kong,2020,31,88,56,0.3522727272727273
Port_of_Houston,2020,172,143,1,1.2027972027972027
Port_of_Jebel_Ali,2020,427,144,0,2.9652777777777777
Port_of_Lagos,2020,0,144,0,0.0
Port_of_Long_Beach,2020,76,64,80,1.1875
Port_of_Los_Angeles,2020,76,64,80,1.1875
Port_of_Mombasa,2020,24,144,0,0.16666666666666666
Port_of_New_York_New_Jersey,2020,129,113,31,1.1415929203539823
Port_of_Ningbo,2020,107,118,26,0.9067796610169492
Port_of_Rotterdam,2020,184,143,1,1.2867132867132867
Port_of_Salalah,2020,4,34,110,0.11764705882352941
Port_of_Savannah,2020,73,118,26,0.6186440677966102
Port_of_Shanghai,2020,62,88,56,0.7045454545454546
Port_of_Singapore,2020,39,144,0,0.2708333333333333
Port_of_Valencia,2020,52,39,105,1.3333333333333333
Pune_Hinjawadi,2020,0,144,0,0.0
Sao_Paulo,2020,1,144,0,0.006944444444444444
Select_Citywalk,2020,0,144,0,0.0
Shenzhen_Electronics,2020,0,91,53,0.0
Suzhou_Industrial_Park,2020,4,144,0,0.027777777777777776
Tijuana_Manufacturing,2020,0,46,98,0.0
Tokyo,2020,1,94,50,0.010638297872340425
Trafford_Centre,2020,4,144,0,0.027777777777777776
Westfield_London,2020,24,142,2,0.16901408450704225
Beijing,2021,0,82,62,0.0
Bluewater,2021,8,144,0,0.05555555555555555
Centro_Oberhausen,2021,2,144,0,0.013888888888888888
Chicago,2021,14,102,42,0.13725490196078433
Detroit_Auto,2021,9,144,0,0.0625
Galeries_Lafayette,2021,0,108,36,0.0
Johannesburg,2021,3,144,0,0.020833333333333332
La_Maquinista,2021,0,81,63,0.0
London,2021,10,144,0,0.06944444444444445
Los_Angeles,2021,8,63,81,0.12698412698412698
Mall_of_Asia_Manila,2021,4,127,17,0.031496062992125984
Mumbai,2021,2,129,15,0.015503875968992248
New_York_City,2021,1,98,46,0.01020408163265306
Pacific_Mall_Delhi,2021,1,144,0,0.006944444444444444
Paris,2021,0,108,36,0.0
Port_of_Antwerp,2021,85,144,0,0.5902777777777778
Port_of_Busan,2021,90,54,90,1.6666666666666667
Port_of_Durban,2021,4,134,10,0.029850746268656716
Port_of_Hamburg,2021,61,144,0,0.4236111111111111
Port_of_Hong_Kong,2021,22,66,78,0.3333333333333333
Port_of_Houston,2021,88,77,67,1.1428571428571428
Port_of_Jebel_Ali,2021,429,142,2,3.0211267605633805
Port_of_Lagos,2021,30,144,0,0.20833333333333334
Port_of_Long_Beach,2021,63,63,81,1.0
Port_of_Los_Angeles,2021,63,63,81,1.0
Port_of_Mombasa,2021,30,144,0,0.20833333333333334
Port_of_New_York_New_Jersey,2021,52,99,45,0.5252525252525253
Port_of_Ningbo,2021,94,110,34,0.8545454545454545
Port_of_Rotterdam,2021,138,144,0,0.9583333333333334
Port_of_Salalah,2021,7,30,114,0.23333333333333334
Port_of_Savannah,2021,95,139,5,0.6834532374100719
Port_of_Shanghai,2021,70,140,4,0.5
Port_of_Singapore,2021,99,144,0,0.6875
Port_of_Valencia,2021,66,45,99,1.4666666666666666
Pune_Hinjawadi,2021,0,144,0,0.0
Sao_Paulo,2021,3,143,1,0.02097902097902098
