location,year,total_detections,valid_tiles,skipped_tiles,avg_detections_per_tile
Port_of_Antwerp,2019,74,144,0,0.5138888888888888
Port_of_Busan,2019,67,57,87,1.1754385964912282
Port_of_Durban,2019,22,45,99,0.4888888888888889
Port_of_Hamburg,2019,148,143,1,1.034965034965035
Port_of_Hong_Kong,2019,32,30,114,1.0666666666666669
Port_of_Houston,2019,143,138,6,1.036231884057971
Port_of_Jebel_Ali,2019,414,141,3,2.936170212765957
Port_of_Lagos,2019,43,144,0,0.2986111111111111
Port_of_Long_Beach,2019,64,65,79,0.9846153846153848
Port_of_Los_Angeles,2019,64,65,79,0.9846153846153848
Port_of_Mombasa,2019,20,143,1,0.1398601398601398
Port_of_New_York_New_Jersey,2019,40,111,33,0.3603603603603603
Port_of_Ningbo,2019,93,111,33,0.8378378378378378
Port_of_Rotterdam,2019,135,144,0,0.9375
Port_of_Salalah,2019,7,33,111,0.2121212121212121
Port_of_Savannah,2019,104,137,7,0.7591240875912408
Port_of_Shanghai,2019,114,140,4,0.8142857142857143
Port_of_Singapore,2019,43,144,0,0.2986111111111111
Port_of_Valencia,2019,75,46,98,1.6304347826086956
Pune_Hinjawadi,2019,0,144,0,0.0
Sao_Paulo,2019,1,144,0,0.0069444444444444
Select_Citywalk,2019,1,144,0,0.0069444444444444
Shenzhen_Electronics,2019,5,30,114,0.1666666666666666
Suzhou_Industrial_Park,2019,2,144,0,0.0138888888888888
Tijuana_Manufacturing,2019,3,23,121,0.1304347826086956
Tokyo,2019,2,107,37,0.0186915887850467
Trafford_Centre,2019,0,142,2,0.0
Westfield_London,2019,24,144,0,0.1666666666666666
Beijing,2020,0,144,0,0.0
Bluewater,2020,21,134,10,0.1567164179104477
Centro_Oberhausen,2020,1,141,3,0.0070921985815602
Chicago,2020,12,81,63,0.1481481481481481
Detroit_Auto,2020,9,50,94,0.18
Galeries_Lafayette,2020,0,107,37,0.0
Johannesburg,2020,4,144,0,0.0277777777777777
La_Maquinista,2020,2,135,9,0.0148148148148148
London,2020,24,142,2,0.1690140845070422
Los_Angeles,2020,22,64,80,0.34375
Mall_of_Asia_Manila,2020,2,137,7,0.0145985401459854
Mumbai,2020,3,144,0,0.0208333333333333
New_York_City,2020,6,113,31,0.0530973451327433
Pacific_Mall_Delhi,2020,0,144,0,0.0
Paris,2020,0,107,37,0.0
Port_of_Antwerp,2020,103,144,0,0.7152777777777778
Port_of_Busan,2020,89,54,90,1.648148148148148
Port_of_Durban,2020,34,144,0,0.2361111111111111
Port_of_Hamburg,2020,29,96,48,0.3020833333333333
Port_of_Hong_Kong,2020,31,88,56,0.3522727272727273
Port_of_Houston,2020,172,143,1,1.2027972027972027
Port_of_Jebel_Ali,2020,427,144,0,2.9652777777777777
Port_of_Lagos,2020,0,144,0,0.0
Port_of_Long_Beach,2020,76,64,80,1.1875
Port_of_Los_Angeles,2020,76,64,80,1.1875
Port_of_Mombasa,2020,24,144,0,0.1666666666666666
Port_of_New_York_New_Jersey,2020,129,113,31,1.1415929203539823
Port_of_Ningbo,2020,107,118,26,0.9067796610169492
Port_of_Rotterdam,2020,184,143,1,1.2867132867132869
Port_of_Salalah,2020,4,34,110,0.1176470588235294
Port_of_Savannah,2020,73,118,26,0.6186440677966102
Port_of_Shanghai,2020,62,88,56,0.7045454545454546
Port_of_Singapore,2020,39,144,0,0.2708333333333333
Port_of_Valencia,2020,52,39,105,1.3333333333333333
Pune_Hinjawadi,2020,0,144,0,0.0
Sao_Paulo,2020,1,144,0,0.0069444444444444
Select_Citywalk,2020,0,144,0,0.0
Shenzhen_Electronics,2020,0,91,53,0.0
Suzhou_Industrial_Park,2020,4,144,0,0.0277777777777777
Tijuana_Manufacturing,2020,0,46,98,0.0
Tokyo,2020,1,94,50,0.0106382978723404
Trafford_Centre,2020,4,144,0,0.0277777777777777
